Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2020-01-02,336.3712158203125,338.48231061099943,330.38969807406386,330.5656396264775,15176989
2020-01-03,336.8988952636719,343.05632385296843,335.31556729947283,341.2970543817771,16611161
2020-01-06,331.97296142578125,334.25999712032353,330.21369199930814,334.25999712032353,13150847
2020-01-07,339.1859436035156,341.1211546535148,334.26001802112535,334.96372583571645,19185574
2020-01-08,336.019287109375,339.36188466435016,333.55630976159165,336.3711410162012,16845521
2020-01-09,343.0563659667969,343.0563659667969,340.4174759959311,343.0563659667969,17298593
2020-01-10,350.6211853027344,351.14898077381645,344.8156389590823,347.27858742496494,27435986
2020-01-13,357.4822998046875,357.4822998046875,349.5656303207703,351.8526662303631,29907325
2020-01-14,352.20452880859375,363.2878838304395,348.86193106167593,360.64899393758327,29101747
2020-01-15,350.797119140625,354.491570878186,348.5100831354205,349.38970340826853,17289175
2020-01-16,351.8526611328125,354.49155092255336,348.6859759132748,350.9730117897337,14937928
2020-01-17,350.9729919433594,352.3804075169025,348.3341023028391,351.8526412366969,14829690
2020-01-20,348.3341369628906,356.25083579192744,348.3341369628906,356.25083579192744,14408330
2020-01-21,339.01007080078125,347.4545364423076,337.25080105884854,347.4545364423076,26222512
2020-01-22,343.93597412109375,345.51933134357364,336.5470708153502,340.7693179156316,20265958
2020-01-23,339.1859436035156,342.8803950702452,333.3803978127602,342.70448267647106,20199731
2020-01-24,339.3619384765625,341.82491621489726,337.250814700847,340.4175003644203,8733127
2020-01-29,337.07489013671875,342.7045242160744,335.13967885215044,337.9545104517037,34453327
2020-01-30,329.86187744140625,342.1767357751969,325.6396594342273,339.5378167609925,27061451
2020-01-31,328.1025695800781,338.4822155448869,326.695154035071,334.43591041286436,22019753
2020-02-03,334.260009765625,337.0748409544691,325.1118375216283,332.5007402725974,31109450
2020-02-04,345.69525146484375,346.2230469240379,338.4822604006869,343.05636152812156,30843842
2020-02-05,344.99151611328125,351.85265269792524,340.76929837486375,351.85265269792524,24297251
2020-02-06,351.8526611328125,351.8526611328125,344.99152438368804,350.09339156640266,19300328
2020-02-07,353.9637756347656,353.9637756347656,347.10263905966315,351.14894439990366,16159459
2020-02-10,352.3804626464844,352.7323165949174,347.45453648817323,347.98230285094735,17859063
2020-02-11,359.7693176269531,361.52858713040393,355.0193045275094,356.25080773979835,25149444
2020-02-12,361.52862548828125,363.81566152554643,359.0656479221303,360.6490052031023,19203274
2020-02-13,366.2785949707031,366.45453647839537,363.4637638055981,365.92674107506497,19377169
2020-02-14,365.04718017578125,369.44534002560096,363.6397643646788,365.04718017578125,15064498
2020-02-17,366.4545593261719,369.2693615470283,360.82489664496256,361.1767505625382,11584816
2020-02-18,359.065673828125,364.5193957010612,358.3619950210625,363.2879213890119,14137968
2020-02-19,361.8804626464844,364.6952940201376,359.4174851945378,360.64898848038536,13560685
2020-02-20,360.6490173339844,365.9267974620826,356.7786238855617,365.9267974620826,17988323
2020-02-21,352.7322998046875,359.2415829809774,351.8526795353507,357.13045939087,18924900
2020-02-24,343.408203125,348.1582164883685,343.05634920475984,345.8711805666814,25147543
2020-02-25,353.26007080078125,354.31563252274316,343.4081905155508,343.7600444228715,26122308
2020-02-26,351.5008239746094,355.1952756803005,347.98228467407057,349.74155432434,19879517
2020-02-27,351.1489562988281,353.2600797965115,346.92670930346145,350.9730147808138,20804187
2020-02-28,339.53778076171875,344.63964760595996,338.130394321709,344.28779371602104,34620841
2020-03-02,342.7044982910156,347.1026577727283,338.30633880930293,338.30633880930293,25046834
2020-03-03,346.5748596191406,350.79710666606434,345.6952393775724,345.6952393775724,23657661
2020-03-04,346.5748596191406,348.3341292220255,343.76005737427323,348.3341292220255,21215873
2020-03-05,357.306396484375,357.8341628154805,346.5748662609896,350.09340553418957,29338773
2020-03-06,348.1582336425781,352.0285978361698,347.45452576742514,350.09341573937394,32962369
2020-03-09,331.97296142578125,338.6581561266335,328.6303640753551,334.25999712032353,39186001
2020-03-10,336.8988952636719,342.52852845173794,330.7414666743753,336.0192750879494,34608378
2020-03-11,332.8526306152344,338.30635208087443,331.6211563951543,336.8989363323544,22181564
2020-03-12,319.8340759277344,324.93594318102834,318.2507187361874,323.7044399076309,41266522
2020-03-13,321.0655517578125,323.70444159783864,295.55624447789535,295.55624447789535,62258137
2020-03-16,300.65814208984375,314.73224206968655,296.4358946240401,313.1489138298858,53921271
2020-03-17,307.69512939453125,312.0932883821855,297.3154835019858,300.65808083823356,45722279
2020-03-18,293.7969665527344,312.44516554410546,290.27842745257095,301.71363584848075,48160440
2020-03-19,301.7136535644531,308.39887824730556,286.05622644872454,301.7136535644531,64815069
2020-03-20,316.3155517578125,320.53779897598446,307.16737857152293,312.2692460669392,56732339
2020-03-23,306.1118469238281,316.13967049501053,299.25073819799564,299.25073819799564,41974224
2020-03-24,321.24151611328125,323.5285521958957,314.90814510330983,317.54706425067315,39717104
2020-03-25,334.260009765625,335.66742536004705,328.45443499850734,329.8618505929294,39297721
2020-03-26,335.8433532714844,339.5378048177191,330.74148606577967,339.5378048177191,31804183
2020-03-27,336.3712158203125,343.05641241695423,335.84342028282543,343.05641241695423,31174808
2020-03-30,331.269287109375,334.2600308765354,326.87112765890424,327.04704005944376,23689947
2020-03-31,334.4359436035156,339.53781090062154,326.16742013561884,338.8341030582794,24083255
2020-04-01,329.3341369628906,337.4267488050172,327.5748671885694,337.4267488050172,25623592
2020-04-02,334.08416748046875,334.08416748046875,325.1119057431607,325.4637597155993,13153815
2020-04-03,331.0933532714844,331.0933532714844,327.2229891723247,327.2229891723247,15484189
2020-04-06,335.4915466308594,337.77861195964334,331.269328177243,334.2600723151696,15044698
2020-04-07,340.94525146484375,340.94525146484375,336.0193253287418,340.94525146484375,20520606
2020-04-08,338.6582336425781,341.1212114033948,336.5471098475924,341.1212114033948,16468233
2020-04-09,344.287841796875,344.287841796875,340.06562364770826,343.0563675699826,17026496
2020-04-14,347.4545593261719,349.74159558143657,345.1675230709071,348.3341796951959,28419783
2020-04-15,347.4545593261719,352.3804858082615,347.4545593261719,352.3804858082615,22245735
2020-04-16,357.8341369628906,357.8341369628906,347.45449053647684,350.97300043572454,31296624
2020-04-17,360.2971496582031,369.09346894976176,357.30640575823315,366.80643292269644,32138269
2020-04-20,359.4175109863281,361.52863466806224,357.6582703713004,360.2971604135927,16637453
2020-04-21,352.3804626464844,361.00086982321733,348.8619522819052,361.00086982321733,22590476
2020-04-22,360.1211853027344,360.47303921688336,348.33412285836425,349.21377220361074,18608344
