Price,Close,High,Low,Open,Volume
Ticker,0005.HK,0005.HK,0005.HK,0005.HK,0005.HK
Date,,,,,
2020-01-02,43.51210403442383,43.547827711765535,43.2977565192898,43.47637763154024,14629077
2020-01-03,43.15484619140625,43.726432998631715,43.04767247262734,43.51208828661478,14419537
2020-01-06,42.86906051635742,43.15485534334972,42.72616310286127,42.94050786033476,13809308
2020-01-07,42.797607421875,43.08339948492536,42.72615736195659,43.01195215054804,8818594
2020-01-08,42.36891555786133,42.440365618317486,42.04739709966143,42.36891555786133,16826669
2020-01-09,42.761878967285156,42.79760535829229,42.54753424894723,42.54753424894723,17802374
2020-01-10,42.761878967285156,42.90477635469077,42.690431636352834,42.833329023758445,19011475
2020-01-13,42.83332824707031,43.08339662633996,42.511809812622964,42.511809812622964,40492594
2020-01-14,42.6904296875,42.86905073221757,42.61898235982931,42.72615335133535,19350077
2020-01-15,42.726158142089844,42.833331871153796,42.583260745184965,42.583260745184965,11324313
2020-01-16,42.797607421875,43.08339948492536,42.69043369476793,42.72615736195659,12528971
2020-01-17,42.97623062133789,43.1548516917083,42.76188315646041,42.76188315646041,12045168
2020-01-20,42.83332824707031,43.04767296152157,42.79760458225192,42.79760458225192,11801544
2020-01-21,42.26174545288086,42.72615859077225,42.26174545288086,42.40464012574518,23520201
2020-01-22,42.36891555786133,42.51181295323252,42.15457082757511,42.15457082757511,13123069
2020-01-23,42.11885070800781,42.368919126816124,41.94022963013292,42.11885070800781,22887881
2020-01-24,41.97595977783203,42.15458088326962,41.86878602435277,41.904512425873705,6897204
2020-01-29,41.118568420410156,41.368639545533824,40.79704995984609,40.832776353107434,35228942
2020-01-30,40.51125717163086,41.01139668743689,40.51125717163086,40.86849929355787,32487044
2020-01-31,40.618431091308594,40.93994956925214,40.618431091308594,40.868502229949705,23220130
2020-02-03,40.36835861206055,40.546979667866125,40.082563832555216,40.261184888360795,26826542
2020-02-04,40.439815521240234,40.61843661934738,40.01112597599976,40.01112597599976,24510379
2020-02-05,40.582706451416016,40.582706451416016,40.22546431236211,40.22546431236211,25450085
2020-02-06,41.36863708496094,41.6187054696696,40.86849759000263,41.297187028229196,21438723
2020-02-07,41.29718780517578,41.40436152951923,41.047119415762445,41.047119415762445,16166118
2020-02-10,41.511531829833984,41.94022399445341,41.26146344462838,41.33291077596113,21510391
2020-02-11,41.90449523925781,42.08311627143617,41.582976836228646,41.582976836228646,13625708
2020-02-12,42.40464401245117,42.583265095444716,42.083128243495935,42.190299257967204,20911601
2020-02-13,42.4760856628418,42.79760409361827,42.368911944069346,42.69043037484582,20939325
2020-02-14,42.61899185180664,42.79761293630618,42.40464436997403,42.51181811089034,14762829
2020-02-17,42.440364837646484,42.58325950484807,42.15457005216117,42.26174377810343,20379817
2020-02-18,41.26146697998047,42.404640732499374,41.082845910803066,42.404640732499374,49578379
2020-02-19,40.72560501098633,40.904226085595916,40.1540181173439,40.18974178715756,69758711
2020-02-20,40.582706451416016,40.79705118974012,40.43980905068621,40.582706451416016,47355008
2020-02-21,40.47553634643555,40.72560475912594,40.36836261211607,40.36836261211607,41477293
2020-02-24,40.36835861206055,40.582703333919035,40.36835861206055,40.4755323357603,49917796
2020-02-25,40.046844482421875,40.261189227380676,40.01112081251895,40.01112081251895,47023549
2020-02-26,39.7253303527832,39.903951447401006,39.5467092581654,39.61815933133749,88500751
2020-02-27,38.867942810058594,39.153734863850474,38.72504542039215,39.153734863850474,47341944
2020-02-28,37.97484588623047,38.15346698122583,37.867672139016605,38.11774058179347,68658071
2020-03-02,37.72477340698242,37.83194715047201,37.51042864554475,37.51042864554475,45360511
2020-03-03,37.546142578125,37.93910832640938,37.546142578125,37.867660999645246,45432000
2020-03-04,36.68876266479492,37.117454821112794,36.29579689899256,36.9745574356735,78906347
2020-03-05,37.01028823852539,37.22463299525281,36.79594348179796,36.831667153662295,53217412
2020-03-06,36.18862533569336,36.54586743091031,36.11717528132544,36.54586743091031,106618709
2020-03-09,34.831119537353516,35.40270659490936,34.72394577163713,35.0097406631861,107572382
2020-03-10,34.93828582763672,35.402699020109836,34.58104365240747,34.58104365240747,69125634
2020-03-11,34.75965881347656,35.152624594119494,34.72393242161181,35.152624594119494,54556159
2020-03-12,33.330692291259766,34.2952449657037,33.22351856052546,34.2952449657037,93238456
