Price,Close,High,Low,Open,Volume
Ticker,0388.HK,0388.HK,0388.HK,0388.HK,0388.HK
Date,,,,,
2020-01-02,220.1413116455078,222.17025871423667,213.37813755010382,214.2235343120293,7135253
2020-01-03,225.3827667236328,228.5952638830019,223.18473013063604,223.18473013063604,10823936
2020-01-06,227.0735626220703,228.76435605067925,224.0301292906822,225.04461566763166,5701213
2020-01-07,228.08804321289062,229.94792646733794,227.0735825463887,229.77883678985634,3501948
2020-01-08,226.7354278564453,227.2426452874272,224.19923750368625,226.39724850317418,4634563
2020-01-09,232.3149871826172,232.3149871826172,229.10249025891744,231.80776983637057,5823897
2020-01-10,232.48410034179688,232.48410034179688,230.62421721927822,232.31501067630947,3352012
2020-01-13,236.8801727294922,237.21832625969245,232.4840994385071,233.8367393587687,6789892
2020-01-14,234.68212890625,238.7400227434636,233.8367322068755,238.5709588832646,4719690
2020-01-15,236.5419921875,236.5419921875,231.8077911900391,233.49858463183529,3981073
2020-01-16,235.02029418945312,238.06372761942458,233.66765424285902,236.71108767283047,3373083
2020-01-17,236.71107482910156,237.38738186597226,234.1748847416469,236.37292131066621,2849141
2020-01-20,236.8801727294922,239.75451643538526,235.86568633943082,237.5564797898927,5339574
2020-01-21,229.77883911132812,236.71110316670976,228.59528875538714,236.37294960779272,7716198
2020-01-22,232.48410034179688,232.48410034179688,228.08802703373132,229.7788204907626,3526956
2020-01-23,227.7498779296875,231.97686165443844,225.21368769483695,230.96240104017494,4943325
2020-01-24,229.440673828125,229.9479170403121,226.90448356665095,228.25712353266275,1650852
2020-01-29,223.01565551757812,225.21369225888495,221.15579812067367,221.4939516656143,5600820
2020-01-30,218.1123504638672,225.0446137828904,215.914313865192,224.03012741443723,5688105
2020-01-31,218.78868103027344,222.33935790210745,218.61961715032976,222.33935790210745,5022051
2020-02-03,220.1413116455078,221.1557980796031,216.42157105292796,216.7597245978058,4114799
2020-02-04,223.1847686767578,223.8610758378107,218.4505411509943,218.4505411509943,5738311
2020-02-05,225.3827667236328,225.55183058496488,222.5084230863878,224.87552354071664,6371086
2020-02-06,230.79330444335938,232.31500821880616,227.74987109300542,228.25711428464115,7939798
2020-02-07,228.76437377929688,230.79332089097343,225.89002988779993,230.79332089097343,3445259
2020-02-10,226.9044952392578,228.08804559560522,225.72094488291037,226.39725200097666,2822520
2020-02-11,228.4262237548828,229.10253086939855,226.22818693351266,228.25713407652256,3420248
2020-02-12,228.59530639648438,230.28610012101382,227.74990953421968,229.94794653600087,2975436
2020-02-13,227.24264526367188,229.94792529278368,225.89003104857835,229.94792529278368,3371279
2020-02-14,227.91896057128906,229.102510817836,225.89001360585715,225.89001360585715,2100590
2020-02-17,230.6242218017578,230.793311470605,227.9189676964311,228.25712123466428,2727836
2020-02-18,228.25714111328125,230.45517800241296,227.41174429434318,230.45517800241296,2088046
2020-02-19,228.59530639648438,229.77885684376201,227.74990953421968,229.77885684376201,1789838
2020-02-20,229.440673828125,229.77882736976258,225.72093327118873,229.77882736976258,3235987
2020-02-21,226.22817993164062,229.10252377856418,225.0446296181382,228.59528055864547,3685494
2020-02-24,220.4794921875,224.03016934214256,219.46503142864847,224.03016934214256,6114497
2020-02-25,221.3248748779297,221.8321181246009,218.28146699682887,219.80317093737926,4172326
2020-02-26,219.63409423828125,220.6485807915917,217.26699334650985,218.11239020778032,3885392
2020-02-27,220.4794921875,220.4794921875,216.5906872460385,219.63409532205796,4145590
2020-02-28,216.25247192382812,217.43603500800296,211.34916863162846,216.7597021887063,8706351
2020-03-02,215.40708923339844,218.11235618756166,214.05444930645163,216.59065239440946,5124136
2020-03-03,217.26695251464844,219.8031426218233,215.91431263092983,218.11234921704005,4638528
2020-03-04,215.74525451660156,217.26697129236982,214.39262741570948,216.42157451691313,4806574
2020-03-05,219.4650115966797,219.80316515240628,215.57618120716768,217.4360644628577,6438732
2020-03-06,215.914306640625,218.45049667743606,215.7452298847835,217.94325351018202,3210325
2020-03-09,209.6584014892578,212.8709118339588,209.6584014892578,212.53274538204064,8555533
2020-03-10,211.8563995361328,213.03994965208622,207.4603267632115,210.33468303010073,7200182
2020-03-11,210.99227905273438,213.5590950360742,210.82114754277742,213.04572661720576,4461430
2020-03-12,203.976318359375,209.28108218551228,202.77847604376458,207.91210834867002,7937671
2020-03-13,203.80519104003906,205.17416481741105,193.3668084179576,196.78922980588604,12435490
2020-03-16,195.59136962890625,200.72500124063083,195.07800124553367,198.32930387739262,8727347
2020-03-17,197.81594848632812,198.67155381114398,191.48447430489117,195.07801405801757,8224395
2020-03-18,189.7732696533203,200.7250207682097,189.7732696533203,198.5004416311769,9442867
2020-03-19,182.24391174316406,188.40426671211478,176.25467520700374,186.69305627321182,17920363
2020-03-20,186.52195739746094,189.77326018337925,184.63962832840326,186.3508389467286,13621900
2020-03-23,180.87493896484375,183.95512299060724,178.65037321779198,178.8214916513345,9343515
2020-03-24,191.48446655273438,191.65558499966966,186.17971636473652,186.6930717055424,9158338
2020-03-25,198.5004119873047,199.3560172113879,194.90687265725512,197.30256989578805,9657066
